ID,Time,Pickup,Dropoff,Duration,Fare
R775,82,76,8,21,55.0
R826,82,28,24,9,10.0
R830,82,32,19,37,27.0
R762,82,8,8,5,7.25
R755,82,28,28,2,3.75
R805,82,26,31,16,18.5
R816,82,6,77,10,16.35
R777,82,60,30,3,8.75
R814,83,8,4,16,22.0
R768,83,56,8,22,39.25
R751,83,8,28,8,8.25
R763,83,8,8,3,7.75
R791,83,8,33,13,14.4
R770,83,40,48,18,17.0
R774,83,24,7,16,18.0
R823,84,8,33,14,14.25
R781,84,32,31,24,22.0
R783,84,28,32,7,10.25
R793,84,8,8,5,6.5
R765,84,28,22,8,11.5
R760,84,21,12,6,11.75
R772,84,3,8,11,19.3
R842,85,8,7,11,11.0
R827,85,32,77,11,23.7
R841,85,32,6,13,24.0
R806,85,8,21,11,23.7
R778,85,22,22,3,5.0
R769,85,8,33,11,9.25
R834,86,8,8,3,5.75
R808,86,32,34,4,6.5
R759,86,8,32,5,7.0
R792,87,32,32,5,5.75
R825,87,77,2,9,9.25
R794,87,28,32,13,12.25
R797,87,24,32,11,13.25
R758,87,33,33,35,25.5
R767,87,32,19,26,23.25
R809,87,3,1,12,14.75
R799,87,8,8,7,7.0
R801,88,8,8,4,9.75
R757,88,76,6,22,44.5
R788,88,8,8,5,7.5
R802,89,8,7,9,10.5
R754,89,8,8,1,10.0
R752,89,8,8,6,7.25
R780,89,8,77,9,17.75
R865,90,8,8,4,5.0
R844,90,6,32,13,21.0
R851,90,33,32,10,12.0
R796,90,8,33,10,14.5
R837,90,8,6,8,10.5
R750,90,76,4,21,46.0
R935,91,8,8,4,5.0
R922,91,6,3,10,10.25
R920,91,8,8,9,13.3
R875,91,75,75,1,3.25
R913,91,56,32,21,46.9
R907,91,8,6,12,20.2
R881,91,8,22,12,15.25
R900,91,76,10,12,23.0
R892,91,28,28,4,7.0
R876,92,24,6,12,12.25
R879,92,6,16,14,14.0
R885,92,8,8,2,4.5
R904,92,8,8,5,6.75
R905,92,8,8,6,8.75
R916,92,28,8,8,7.5
R937,92,76,32,25,53.0
R857,92,6,6,3,5.25
R870,92,33,8,12,18.25
R878,93,8,32,5,6.5
R877,93,76,76,1,4.75
R938,93,56,65,7,18.0
R858,93,56,70,12,17.5
R853,93,8,7,7,11.75
R859,93,32,8,4,9.25
R868,93,22,16,13,14.25
R846,93,8,8,5,9.0
R940,94,14,1,18,17.75
R874,94,76,32,22,48.0
R889,94,8,7,9,9.0
R915,94,32,7,14,15.0
R898,94,32,6,14,23.75
R852,94,32,6,13,19.84
R912,94,32,8,9,8.25
R886,94,8,5,14,21.5
R867,94,32,6,16,22.9
R903,94,8,8,5,9.75
R902,95,1,8,13,23.0
R936,95,8,8,10,8.75
R854,95,1,13,13,15.75
R895,95,8,8,1,7.25
R914,95,76,3,28,52.55
R930,96,3,3,11,9.5
R932,96,8,8,3,5.0
R926,96,76,8,21,50.0
R850,96,16,28,14,16.0
R856,96,8,8,7,11.5
R931,96,8,32,4,5.5
R880,96,76,14,21,41.2
R863,96,8,8,10,8.25
R872,96,1,5,11,11.0
R882,96,8,32,22,16.5
R890,96,56,2,49,63.5
R939,97,32,8,7,9.9
R896,97,1,28,27,36.75
R925,97,76,5,21,36.25
R919,97,6,8,12,16.9
R906,98,32,8,4,6.5
R862,98,32,7,12,11.0
R911,98,6,32,14,17.25
R873,98,33,33,20,12.0
R864,98,76,10,12,21.5
R860,98,8,33,10,14.25
R897,99,8,8,1,5.25
R941,99,32,8,7,6.25
R891,99,32,6,12,24.9
R899,99,8,8,7,7.0
R929,99,76,32,37,58.2
R927,99,6,6,2,4.75
R849,100,32,5,12,16.25
R861,100,76,1,32,45.14
R909,100,22,25,13,14.0
R901,100,56,6,24,53.25
R894,100,8,22,10,15.75
R908,101,8,32,9,11.0
R923,101,32,33,7,9.25
R871,101,3,3,3,4.25
R893,101,76,4,21,41.2
