ID,Time,Pickup,Dropoff,Duration,Fare
R771,33,8,32,8,7.5
R803,33,6,6,1,3.5
R807,33,56,32,57,52.2
R844,33,32,32,4,4.75
R753,33,32,8,8,12.25
R819,33,32,28,7,7.75
R747,33,28,8,11,10.75
R967,33,32,32,1,3.25
R735,33,32,32,4,5.0
R730,33,33,32,6,7.25
R950,33,8,76,42,54.7
R751,33,32,32,8,8.1
R900,33,32,8,11,8.75
R786,33,8,32,11,9.75
R943,33,8,76,55,56.88
R635,33,8,6,13,10.75
R949,33,8,32,2,6.75
R903,33,8,8,7,7.25
R945,33,32,32,9,8.5
R913,33,32,32,1,12.5
R596,33,8,32,6,8.75
R649,33,32,33,6,10.5
R607,33,33,8,8,8.75
R921,33,16,16,2,4.0
R932,33,8,8,7,9.0
R625,33,8,56,27,40.9
R697,34,56,32,60,49.0
R960,34,8,32,4,7.25
R869,34,8,32,8,10.25
R610,34,32,8,12,10.0
R700,34,32,8,7,8.5
R767,34,32,33,10,11.8
R856,34,8,32,4,7.75
R651,34,28,22,19,21.9
R847,34,3,3,10,8.25
R569,34,28,32,9,10.25
R870,34,4,3,8,6.75
R961,34,8,8,6,6.25
R723,34,8,8,4,4.75
R833,34,76,76,1,3.25
R728,34,28,28,5,5.5
R829,34,28,8,7,7.5
R557,34,28,76,38,50.2
R970,34,76,32,66,63.3
R707,34,56,28,53,36.0
R686,34,8,6,11,18.3
R862,34,39,32,17,23.2
R873,34,32,32,9,10.5
R646,34,28,32,171,6.75
R656,34,8,32,10,9.78
R794,34,8,28,18,11.5
R891,34,8,32,10,11.75
R608,35,76,24,57,49.0
R842,35,48,32,39,33.5
R717,35,28,32,4,7.5
R644,35,77,3,3,5.25
R619,35,33,76,59,73.0
R555,35,32,32,8,10.5
R661,35,8,32,6,9.75
R892,35,8,32,7,9.75
R733,35,8,32,10,10.2
R823,35,7,8,14,13.25
R912,35,76,76,1,3.25
R820,35,8,32,6,6.75
R598,35,32,28,4,5.25
R754,35,6,32,22,17.75
R899,35,28,8,10,7.75
R914,35,8,31,16,14.25
R781,35,76,32,68,62.7
R763,35,8,76,49,48.25
R560,35,6,8,19,17.25
R854,35,32,8,11,8.5
R710,35,76,32,83,64.98
R545,35,11,6,26,20.25
R926,35,76,8,72,52.25
R677,35,32,32,1,3.25
R570,35,8,32,7,11.0
R785,35,8,32,10,8.75
R704,35,33,28,9,8.75
R791,35,32,32,4,8.0
R868,35,28,32,4,5.75
R593,35,28,8,4,9.0
R575,35,6,76,51,49.5
R574,35,76,28,56,60.6
R822,36,76,8,74,66.88
R628,36,76,33,19,17.7
R878,36,8,33,9,17.4
R824,36,8,8,4,7.75
R796,36,28,28,4,5.75
R548,36,76,7,60,53.0
R825,36,32,28,4,5.5
R737,36,8,33,19,16.2
R922,36,32,32,6,12.25
R650,36,15,32,62,37.0
R830,36,2,76,34,34.25
R637,36,3,8,9,17.5
R918,36,28,8,11,11.5
R621,36,76,32,76,63.9
R552,36,6,8,9,14.0
R836,36,32,76,57,57.21
R935,36,8,76,43,41.75
R933,36,8,76,42,54.05
R828,36,32,8,7,7.0
R670,36,6,7,4,5.75
R544,36,8,33,15,12.0
R843,36,8,32,10,12.25
R764,37,6,6,12,11.75
R546,37,8,32,9,8.75
R777,37,32,32,1,4.0
R783,37,8,77,20,22.0
R758,37,8,8,1,3.25
R814,37,28,28,10,10.5
R769,37,32,8,5,8.75
R923,37,32,32,4,10.0
R748,37,28,32,6,6.0
R579,37,28,32,4,9.0
R673,37,32,32,9,7.25
R818,37,6,6,1,3.25
R940,37,8,28,13,10.5
R695,37,8,28,12,12.75
R641,37,5,76,43,35.75
R864,37,32,32,9,10.75
R863,37,8,33,17,16.5
R639,37,8,32,14,10.0
R883,37,8,32,10,11.45
R848,37,33,76,60,73.25
R904,37,32,32,43,69.5
R662,37,69,69,1,3.25
R831,37,77,76,49,51.03
R630,37,28,8,5,5.75
R657,37,32,8,4,8.0
R965,37,32,33,12,14.0
